College Name,Address,Year,Organization Type,Size,Area,Graduation Rate,Financial Aid,SAT Score,Net Price,Majors,Rank,Logo URL,Logo2 URL,University URL,country
American University of Afghanistan,"Kabul, Afghanistan",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Afghanistan
American University Of Armenia,"Yerevan, Armenia",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Armenia
University of Melbourne,"Parkville, Australia",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Australia
Bond University,"Robina, Australia",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Australia
CQUniversity Rockhampton North,"Rockhampton Nth, Australia",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Australia
Griffith University,"Brisbane, Australia",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Australia
James Cook University,"Townsville, Australia",Unknown,Public,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Australia
Macquarie University Sydney Australia,"Macquarie Park, Australia",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Australia
Monash University Clayton Campus,"Melbourne, Australia",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Australia
Queensland University of Technology,"Brisbane, Australia",Unknown,Public,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Australia
University of New South Wales,"Sydney, Australia",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Australia
University of Sydney,"Sydney, Australia",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Australia
University Of Tasmania,"Hobart, Australia",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Australia
Modul University Vienna,"Vienna, Austria",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Austria
Webster Vienna Private University,"Vienna, Austria",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Austria
Ada University,"Baku, Azerbaijan",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Azerbaijan
Bahamas Agriculture And Marine Science Institute,"Sa Andros Bahama Village, Bahamas",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Bahamas
"Independent University, Bangladesh","Dhaka, Bangladesh",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Bangladesh
Brussels School Of Governance Vesalius College,"Brussels, Belgium",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Belgium
Ku Leuven University,"Leuven, Belgium",4-year,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Belgium
Bermuda College,"Paget, Bermuda",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Bermuda
American University in Bulgaria,"Blagoevgrad, Bulgaria",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Bulgaria
St. Thomas University,"Fredericton, Canada",4-year,Unknown,Small Graduation rate not available Average annual cost after aid not available SAT score range not available,Unknown,Unknown,Unknown,Unknown,,,,,,,Canada
University of Northern British Columbia,"Prince George, Canada",Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Canada
Mount Royal University,"Calgary, Canada",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
Bishop's University,"Sherbrooke, Canada",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Canada
Brescia University College,"London, Canada",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
Carleton University,"Ottawa, Canada",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
Concordia University of Edmonton,"Edmonton, Canada",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
Concordia University: SGW Campus,"Montreal, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
Dalhousie University,"Halifax, Canada",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Canada
Kwantlen Polytechnic University,"Surrey, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
Lakehead University,"Thunder Bay, Canada",Unknown,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
McGill University,"Montreal, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,—,,,https://logo.clearbit.com/www.mcgill.ca/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.mcgill.ca/,https://www.mcgill.ca/,Canada
McMaster University,"Hamilton, Canada",Unknown,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,—,,,https://logo.clearbit.com/www.mcmaster.com/,https://www.google.com/s2/favicons?sz=64&domain_url=https://www.mcmaster.com/,https://www.mcmaster.com/,Canada
Memorial University of Newfoundland,"St. John's, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
Mount Allison University,"Sackville, Canada",4-year,Unknown,Unknown,Rural,Unknown,Unknown,Unknown,,,,,,,Canada
Ontario Tech University,"Oshawa, Canada",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
Prairie College,"Three Hills, Canada",Unknown,Unknown,Unknown,Rural,Unknown,Unknown,Unknown,,,,,,,Canada
Queen's University,"Kingston, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
Quest University Canada,"Squamish, Canada",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Canada
Redeemer University College,"Ancaster, Canada",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
Sault College Of Applied Arts And Technology,"Sault Ste. Marie, Canada",4-year,Public,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
Simon Fraser University,"Burnaby, Canada",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
St. Francis Xavier University,"Antigonish, Canada",4-year,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,,,,,Canada
Talpiot College,"Toronto, Canada",4-year,Private,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
Toronto Metropolitan University,"Toronto, Canada",4-year,Unknown,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
Trent University,"Peterborough, Canada",4-year,Unknown,Unknown,Suburban,Unknown,Unknown,Unknown,,,,,,,Canada
Universite De Saint-Boniface,"Winnipeg, Canada",Unknown,Private,Unknown,Urban,Unknown,Unknown,Unknown,,,,,,,Canada
