college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
University of Puerto Rico: Aguadilla,"Aguadilla, PR",4-year,Public,Small,Suburban 42% graduation rate $6K average per year after aid 422-546,Suburban 42% graduation rate $6K average per year after aid 422-546,Suburban 42% graduation rate $6K average per year after aid 422-546,Suburban 42% graduation rate $6K average per year after aid 422-546
Ferris State University,"Big Rapids, MI",4-year,Public,Medium,Rural 57% graduation rate $14K average per year after aid 400-1120,Rural 57% graduation rate $14K average per year after aid 400-1120,Rural 57% graduation rate $14K average per year after aid 400-1120,Rural 57% graduation rate $14K average per year after aid 400-1120
California State University: Fullerton,"Fullerton, CA",4-year,Public,Very Large,Suburban 69% graduation rate $8K average per year after aid 860-1070,Suburban 69% graduation rate $8K average per year after aid 860-1070,Suburban 69% graduation rate $8K average per year after aid 860-1070,Suburban 69% graduation rate $8K average per year after aid 860-1070
California State University: Fresno,"Fresno, CA",4-year,Public,Very Large,Urban 56% graduation rate $8K average per year after aid 860-1110,Urban 56% graduation rate $8K average per year after aid 860-1110,Urban 56% graduation rate $8K average per year after aid 860-1110,Urban 56% graduation rate $8K average per year after aid 860-1110
California State University: Stanislaus,"Turlock, CA",4-year,Public,Medium,Suburban 55% graduation rate $8K average per year after aid 900-1080,Suburban 55% graduation rate $8K average per year after aid 900-1080,Suburban 55% graduation rate $8K average per year after aid 900-1080,Suburban 55% graduation rate $8K average per year after aid 900-1080
California State University: Los Angeles,"Los Angeles, CA",4-year,Public,Very Large,Urban 51% graduation rate $6K average per year after aid 850-1045,Urban 51% graduation rate $6K average per year after aid 850-1045,Urban 51% graduation rate $6K average per year after aid 850-1045,Urban 51% graduation rate $6K average per year after aid 850-1045
California State University: Dominguez Hills,"Carson, CA",4-year,Public,Large,Suburban 46% graduation rate $5K average per year after aid 790-930,Suburban 46% graduation rate $5K average per year after aid 790-930,Suburban 46% graduation rate $5K average per year after aid 790-930,Suburban 46% graduation rate $5K average per year after aid 790-930
Escuela de Artes Plasticas y Diseno de Puerto Rico,"San Juan, PR",4-year,Public,Small,Urban 37% graduation rate $5K average per year after aid 953-1055,Urban 37% graduation rate $5K average per year after aid 953-1055,Urban 37% graduation rate $5K average per year after aid 953-1055,Urban 37% graduation rate $5K average per year after aid 953-1055
University of Texas at El Paso,"El Paso, TX",4-year,Public,Very Large,Urban 47% graduation rate $10K average per year after aid 880-1080,Urban 47% graduation rate $10K average per year after aid 880-1080,Urban 47% graduation rate $10K average per year after aid 880-1080,Urban 47% graduation rate $10K average per year after aid 880-1080
California State University: Monterey Bay,"Seaside, CA",4-year,Public,Medium,Suburban 61% graduation rate $11K average per year after aid 900-1220,Suburban 61% graduation rate $11K average per year after aid 900-1220,Suburban 61% graduation rate $11K average per year after aid 900-1220,Suburban 61% graduation rate $11K average per year after aid 900-1220
California State University: San Bernardino,"San Bernardino, CA",4-year,Public,Very Large,Suburban 54% graduation rate $9K average per year after aid 820-1020,Suburban 54% graduation rate $9K average per year after aid 820-1020,Suburban 54% graduation rate $9K average per year after aid 820-1020,Suburban 54% graduation rate $9K average per year after aid 820-1020
Marshall University,"Huntington, WV",4-year,Public,Medium,Urban 50% graduation rate $9K average per year after aid 900-1120,Urban 50% graduation rate $9K average per year after aid 900-1120,Urban 50% graduation rate $9K average per year after aid 900-1120,Urban 50% graduation rate $9K average per year after aid 900-1120
