acceptance_rate,college_type,location,name,net_price,overall_rating,reviews,sat_range,url
,,,Massachusetts Institute of Technology,,grade A+,,,https://www.niche.com/colleges/massachusetts-institute-of-technology/
,,,Yale University,,grade A+,,,https://www.niche.com/colleges/yale-university/
,,,Stanford University,,grade A+,,,https://www.niche.com/colleges/stanford-university/
,,,Harvard University,,grade A+,,,https://www.niche.com/colleges/harvard-university/
,,,Dartmouth College,,grade A+,,,https://www.niche.com/colleges/dartmouth-college/
,,,Columbia University,,grade A+,,,https://www.niche.com/colleges/columbia-university/
,,,Brown University,,grade A+,,,https://www.niche.com/colleges/brown-university/
,,,Rice University,,grade A+,,,https://www.niche.com/colleges/rice-university/
,,,Vanderbilt University,,grade A+,,,https://www.niche.com/colleges/vanderbilt-university/
,,,Princeton University,,grade A+,,,https://www.niche.com/colleges/princeton-university/
,,,University of Pennsylvania,,grade A+,,,https://www.niche.com/colleges/university-of-pennsylvania/
,,,Duke University,,grade A+,,,https://www.niche.com/colleges/duke-university/
,,,Georgetown University,,grade A+,,,https://www.niche.com/colleges/georgetown-university/
,,,Harvey Mudd College,,grade A+,,,https://www.niche.com/colleges/harvey-mudd-college/
,,,Washington University in St. Louis,,grade A+,,,https://www.niche.com/colleges/washington-university-in-st-louis/
,,,Pomona College,,grade A+,,,https://www.niche.com/colleges/pomona-college/
,,,Northwestern University,,grade A+,,,https://www.niche.com/colleges/northwestern-university/
,,,Carnegie Mellon University,,grade A+,,,https://www.niche.com/colleges/carnegie-mellon-university/
,,,California Institute of Technology,,grade A+,,,https://www.niche.com/colleges/california-institute-of-technology/
,,,University of California - Los Angeles,,grade A+,,,https://www.niche.com/colleges/university-of-california-los-angeles/
,,,Cornell University,,grade A+,,,https://www.niche.com/colleges/cornell-university/
,,,Johns Hopkins University,,grade A+,,,https://www.niche.com/colleges/johns-hopkins-university/
,,,University of Michigan - Ann Arbor,,grade A+,,,https://www.niche.com/colleges/university-of-michigan-ann-arbor/
,,,Claremont McKenna College,,grade A+,,,https://www.niche.com/colleges/claremont-mckenna-college/
,,,University of Chicago,,grade A+,,,https://www.niche.com/colleges/university-of-chicago/
