college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score
University of Puerto Rico: Aguadilla,"Aguadilla, PR",4-year,Public,Small,Suburban,42%,$6K,422-546
Ferris State University,"Big Rapids, MI",4-year,Public,Medium,Rural,57%,$14K,400-1120
California State University: Fullerton,"Fullerton, CA",4-year,Public,Very Large,Suburban,69%,$8K,860-1070
California State University: Fresno,"Fresno, CA",4-year,Public,Very Large,Urban,56%,$8K,860-1110
California State University: Stanislaus,"Turlock, CA",4-year,Public,Medium,Suburban,55%,$8K,900-1080
California State University: Los Angeles,"Los Angeles, CA",4-year,Public,Very Large,Urban,51%,$6K,850-1045
California State University: Dominguez Hills,"Carson, CA",4-year,Public,Large,Suburban,46%,$5K,790-930
Escuela de Artes Plasticas y Diseno de Puerto Rico,"San Juan, PR",4-year,Public,Small,Urban,37%,$5K,953-1055
University of Texas at El Paso,"El Paso, TX",4-year,Public,Very Large,Urban,47%,$10K,880-1080
California State University: Monterey Bay,"Seaside, CA",4-year,Public,Medium,Suburban,61%,$11K,900-1220
California State University: San Bernardino,"San Bernardino, CA",4-year,Public,Very Large,Suburban,54%,$9K,820-1020
Marshall University,"Huntington, WV",4-year,Public,Medium,Urban,50%,$9K,900-1120
Bossier Parish Community College,"Bossier City, LA",2-year,Public,Medium,Suburban,Unknown,$10K,Unknown
California State University: San Marcos,"San Marcos, CA",4-year,Public,Large,Suburban,57%,$10K,880-1070
Talmudical Seminary Of Bobov,"Brooklyn, NY",4-year,Private,Unknown,Urban,100%,$2K,Unknown
Wright State University: Lake Campus,"Celina, OH",4-year,Public,Small,Rural,40%,$12K,790-1200
Oklahoma Christian University,"Edmond, OK",4-year,Private,Small,Suburban,57%,$20K,510-640
Baptist College of Florida,"Graceville, FL",4-year,Private,Small,Rural,56%,$10K,920-1260
Valley City State University,"Valley City, ND",4-year,Public,Small,Rural,47%,$12K,860-1190
