college_name,address,year,organization_type,size,area,graduation_rate,financial_aid,sat_score,majors
University of Puerto Rico: Aguadilla,"Aguadilla, PR",4-year,Public,Small,Suburban,42%,$6K,422-546,"Accounting|Aeronautical/Aerospace Engineering Technology/Technician|Biological and Biomedical Sciences, Other|Business/Commerce, General|Electrical, Electronic, and Communications Engineering Technology/Technician|Elementary Education and Teaching|English/Language Arts Teacher Education|Environmental/Environmental Engineering Technology/Technician|Finance, General|Human Resources Management/Personnel Administration, General|Management Information Systems and Services, Other|Marketing/Marketing Management, General|Office Management and Supervision"
Ferris State University,"Big Rapids, MI",4-year,Public,Medium,Rural,57%,$14K,400-1120,"Accounting|Accounting Technology/Technician and Bookkeeping|Accounting and Finance|Actuarial Science|Adult Development and Aging|Advertising|Animation, Interactive Technology, Video Graphics, and Special Effects|Applied Mathematics|Architectural Engineering Technologies/Technicians|Architecture|Art History, Criticism and Conservation|Art Teacher Education|Artificial Intelligence|Automobile/Automotive Mechanics Technology/Technician|Automotive Engineering Technology/Technician|Biochemistry|Biological and Physical Sciences|Biology Teacher Education|Biology/Biological Sciences, General|Biotechnology|Business Administration and Management, General|Business Analytics|Business and Innovation/Entrepreneurship Teacher Education|CAD/CADD Drafting and/or Design Technology/Technician|Chemical Technology/Technician|Chemistry Teacher Education|Chemistry, General|Chemistry, Other|Child Care and Support Services Management|Civil Engineering Technologies/Technicians|Clinical Laboratory Science/Medical Technology/Technologist|Clinical/Medical Laboratory Technician|Communication, General|Communications Technologies/Technicians and Support Services, Other|Community College Administration|Community Organization and Advocacy|Computer Numerically Controlled (CNC) Machinist Technology/CNC Machinist|Computer Systems Networking and Telecommunications|Computer and Information Sciences and Support Services, Other|Computer and Information Sciences, General|Computer and Information Systems Security/Auditing/Information Assurance|Construction Engineering Technology/Technician|Construction Management, General|Creative Writing|Criminal Justice/Law Enforcement Administration|Criminal Justice/Police Science|Criminalistics and Criminal Science|Curriculum and Instruction|Cyber/Computer Forensics and Counterterrorism|Data Analytics, General|Data Processing and Data Processing Technology/Technician|Dental Hygiene/Hygienist|Design and Applied Arts, Other|Design and Visual Communications, General|Diagnostic Medical Sonography/Sonographer and Ultrasound Technician|Dietetics/Dietitian|Drawing|E-Commerce/Electronic Commerce|Economics, General|Education, Other|Educational Leadership and Administration, General|Electrical, Electronic, and Communications Engineering Technology/Technician|Electrical/Electronic Engineering Technologies/Technicians, Other|Elementary Education and Teaching|Energy Systems Technology/Technician|Engineering Technologies/Technicians, General|Engineering, General|English/Language Arts Teacher Education|Entrepreneurship/Entrepreneurial Studies|Environmental Biology|Fashion Merchandising|Fashion/Apparel Design|Finance, General|Financial Forensics and Fraud Investigation|Fine Arts and Art Studies, Other|Fine/Studio Arts, General|General Studies|Geographic Information Science and Cartography|Geography Teacher Education|Graphic Communications, General|Graphic Design|Health Information/Medical Records Administration/Administrator|Health Information/Medical Records Technology/Technician|Health Professions and Related Clinical Sciences, Other|Health and Medical Administrative Services, Other|Health/Health Care Administration/Management|Health/Medical Preparatory Programs, Other|Heating, Ventilation, Air Conditioning and Refrigeration Engineering Technology/Technician|Heavy Equipment Maintenance Technology/Technician|History Teacher Education|History, General|Hospitality Administration/Management, General|Hospitality and Recreation Marketing Operations|Hotel/Motel Administration/Management|Human Resources Management/Personnel Administration, General|Illustration|Industrial Electronics Technology/Technician|Industrial Production Technologies/Technicians, Other|Industrial Technology/Technician|Industrial and Product Design|Informatics|Information Technology|Insurance|Interior Design|International Business/Trade/Commerce|Jewelry Arts|Journalism|Liberal Arts and Sciences, General Studies and Humanities, Other|Logistics, Materials, and Supply Chain Management|Long Term Care Administration/Management|Manufacturing Engineering|Marketing Research|Marketing/Marketing Management, General|Mathematics Teacher Education|Mechanical/Mechanical Engineering Technology/Technician|Medical Radiologic Technology/Science - Radiation Therapist|Music Management|Nuclear Medical Technology/Technologist|Nursing Administration|Nursing Education|Nursing Practice|Operations Management and Supervision|Optometry|Organizational Leadership|Painting|Pharmacy|Photography|Plastics and Polymer Engineering Technology/Technician|Political Science and Government, General|Pre-Pharmacy Studies|Printing Management|Printmaking|Professional, Technical, Business, and Scientific Writing|Psychology, General|Public Health, General|Public Relations/Image Management|Quality Control Technology/Technician|Radio and Television Broadcasting Technology/Technician|Real Estate|Registered Nursing/Registered Nurse|Resort Management|Respiratory Care Therapy/Therapist|Restaurant, Culinary, and Catering Management/Manager|Rhetoric and Composition|Sales and Marketing Operations/Marketing and Distribution Teacher Education|Sculpture|Secondary Education and Teaching|Selling Skills and Sales Operations|Social Science Teacher Education|Social Sciences, Other|Social Studies Teacher Education|Social Work|Sociology|Spanish Language and Literature|Sport and Fitness Administration/Management|Sports Communication|Surveying Engineering|Surveying Technology/Surveying|Technical Teacher Education|Telecommunications Technology/Technician|Tool and Die Technology/Technician|Traffic, Customs, and Transportation Clerk/Technician|Vision Science/Physiological Optics|Welding Technology/Welder|Writing, General"
California State University: Fullerton,"Fullerton, CA",4-year,Public,Very Large,Suburban,69%,$8K,860-1070,"Accounting|American/United States Studies/Civilization|Anthropology|Art/Art Studies, General|Athletic Training/Trainer|Biochemistry|Biology/Biological Sciences, General|Biotechnology|Business Administration and Management, General|Chemistry, General|Civil Engineering, General|Communication Disorders Sciences and Services, Other|Communication Sciences and Disorders, General|Community College Administration|Community Organization and Advocacy|Comparative Literature|Computer Engineering, General|Computer Science|Computer Software Engineering|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Dance, General|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Econometrics and Quantitative Economics|Economics, General|Education, General|Educational Leadership and Administration, General|Educational/Instructional Technology|Electrical and Electronics Engineering|Elementary Education and Teaching|Engineering, General|English Language and Literature, General|Environmental Science|Environmental/Environmental Health Engineering|Ethnic, Cultural Minority, Gender, and Group Studies, Other|European Studies/Civilization|Fine/Studio Arts, General|French Language and Literature|Geography|Geological and Earth Sciences/Geosciences, Other|Geology/Earth Science, General|Gerontology|Health Professions and Related Clinical Sciences, Other|Health Services/Allied Health/Health Sciences, General|Higher Education/Higher Education Administration|History, General|Human Services, General|Industrial and Product Design|Information Technology|International Business/Trade/Commerce|Japanese Language and Literature|Latin American Studies|Liberal Arts and Sciences/Liberal Studies|Linguistics|Mathematics, General|Mechanical Engineering|Music Performance, General|Music, General|Natural Sciences|Nursing Practice|Philosophy|Physics, General|Playwriting and Screenwriting|Political Science and Government, General|Psychology, General|Public Administration|Public Health, General|Radio and Television|Reading Teacher Education|Registered Nursing/Registered Nurse|Religion/Religious Studies|Rhetoric and Composition|Secondary Education and Teaching|Social Sciences, General|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Statistics, General|Taxation|Teaching English as a Second or Foreign Language/ESL Language Instructor|Women's Studies"
California State University: Fresno,"Fresno, CA",4-year,Public,Very Large,Urban,56%,$8K,860-1110,"African-American/Black Studies|Agribusiness/Agricultural Business Operations|Agricultural Business and Management, General|Agricultural Teacher Education|Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other|Agriculture, General|Animal Sciences, General|Anthropology|Apparel and Textiles, General|Architecture|Art/Art Studies, General|Athletic Training/Trainer|Biochemistry|Biological and Biomedical Sciences, Other|Biology/Biological Sciences, General|Biotechnology|Business Administration and Management, General|Chemistry, General|Child Development|City/Urban, Community, and Regional Planning|Civil Engineering, General|Cognitive Science, General|Communication Sciences and Disorders, General|Community College Administration|Computer Engineering, General|Computer Science|Construction Engineering Technology/Technician|Construction Management, General|Counselor Education/School Counseling and Guidance Services|Creative Writing|Criminology|Deaf Studies|Dietetics/Dietitian|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Education, Other|Education/Teaching of Individuals with Hearing Impairments Including Deafness|Educational Leadership and Administration, General|Educational Statistics and Research Methods|Electrical and Electronics Engineering|Engineering, General|English Language and Literature, General|English/Language Arts Teacher Education|Environmental Science|Family and Consumer Sciences/Human Sciences, General|Food Science|Forensic Psychology|French Language and Literature|Geography|Geology/Earth Science, General|Graphic Design|Health Professions and Related Clinical Sciences, Other|Health Services/Allied Health/Health Sciences, General|Health/Medical Physics|Higher Education/Higher Education Administration|Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies|History, General|Hydrology and Water Resources Science|Industrial Technology/Technician|Interior Design|Journalism|Latin American Studies|Liberal Arts and Sciences/Liberal Studies|Linguistics|Mathematics, General|Mechanical Engineering|Mental and Social Health Services and Allied Professions, Other|Multi-/Interdisciplinary Studies, Other|Music, General|Nursing Practice|Nutrition Sciences|Parks, Recreation, and Leisure Studies|Philosophy|Physical Sciences, General|Physical Therapy/Therapist|Physics, General|Plant Protection and Integrated Pest Management|Political Science and Government, General|Psychology, General|Public Administration|Public Health, General|Reading Teacher Education|Registered Nursing/Registered Nurse|Rhetoric and Composition|School Psychology|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Speech-Language Pathology/Pathologist|Sports, Kinesiology, and Physical Education/Fitness, General|Surveying Technology/Surveying|Teacher Education and Professional Development, Specific Levels and Methods, Other|Viticulture and Enology|Vocational Rehabilitation Counseling/Counselor|Women's Studies|Writing, General"
California State University: Stanislaus,"Turlock, CA",4-year,Public,Medium,Suburban,55%,$8K,900-1080,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other|Agriculture, General|Anthropology|Art History, Criticism and Conservation|Art/Art Studies, General|Biology/Biological Sciences, General|Business Administration and Management, General|Business, Management, Marketing, and Related Support Services, Other|Chemistry, General|Clinical Nurse Leader|Cognitive Science, General|Communication and Media Studies, Other|Community College Administration|Computer Science|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Educational Leadership and Administration, General|English Language and Literature, General|Ethnic, Cultural Minority, Gender, and Group Studies, Other|Exercise Science and Kinesiology|Fine/Studio Arts, General|French Language and Literature|Genetic Counseling/Counselor|Geography|Geology/Earth Science, General|Health Services/Allied Health/Health Sciences, General|History, General|Information Science/Studies|Information Technology|Liberal Arts and Sciences/Liberal Studies|Marine Sciences|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Music Performance, General|Music, General|Natural Resources and Conservation, Other|Organizational Leadership|Philosophy|Physical Sciences, General|Physics, General|Political Science and Government, General|Psychology, General|Public Administration|Public Health Education and Promotion|Registered Nursing/Registered Nurse|Social Sciences, General|Social Work|Sociology|Spanish Language and Literature|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Teaching English as a Second or Foreign Language/ESL Language Instructor"
California State University: Los Angeles,"Los Angeles, CA",4-year,Public,Very Large,Urban,51%,$6K,850-1045,"Accounting|African-American/Black Studies|American/United States Studies/Civilization|Anthropology|Applied Behavior Analysis|Art/Art Studies, General|Audiology/Audiologist|Bilingual and Multilingual Education|Biochemistry|Biology/Biological Sciences, General|Biotechnology|Business Administration and Management, General|Business Administration, Management and Operations, Other|Business and Innovation/Entrepreneurship Teacher Education|Chemistry, General|Chinese Language and Literature|Civil Engineering, General|Clinical Laboratory Science/Medical Technology/Technologist|Communication Disorders Sciences and Services, Other|Communication Sciences and Disorders, General|Computer Science|Computer Teacher Education|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Dietetics/Dietitian|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Education/Teaching of Individuals with Autism|Educational Leadership and Administration, General|Educational/Instructional Technology|Electrical and Electronics Engineering|Engineering, General|Engineering/Industrial Management|English Language and Literature, General|Environmental Science|Ethnic, Cultural Minority, Gender, and Group Studies, Other|Exercise Science and Kinesiology|Family and Consumer Sciences/Human Sciences, General|Fine/Studio Arts, General|Fire Services Administration|Food Technology and Processing|Forensic Science and Technology|French Language and Literature|Geography|Geology/Earth Science, General|Gerontology|Graphic Communications, General|Health Services/Allied Health/Health Sciences, General|Health/Health Care Administration/Management|Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies|History, General|Industrial Technology/Technician|Information Science/Studies|Information Technology|Intercultural/Multicultural and Diversity Studies|Japanese Language and Literature|Journalism|Latin American Studies|Liberal Arts and Sciences/Liberal Studies|Logistics, Materials, and Supply Chain Management|Management Science|Mass Communication/Media Studies|Materials Engineering|Mathematics, General|Mechanical Engineering|Microbiology, General|Multi-/Interdisciplinary Studies, Other|Music Performance, General|Music, General|Natural Sciences|Nutrition Sciences|Philosophy|Physics, General|Political Science and Government, General|Psychology, General|Public Administration|Public Health, General|Radio and Television|Real Estate|Registered Nursing/Registered Nurse|Rhetoric and Composition|Social Sciences, General|Social Work|Social and Philosophical Foundations of Education|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Special Education and Teaching, Other|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Student Counseling and Personnel Services, Other|Teaching English as a Second or Foreign Language/ESL Language Instructor|Technology Teacher Education/Industrial Arts Teacher Education|Trade and Industrial Teacher Education|Visual and Performing Arts, General|Vocational Rehabilitation Counseling/Counselor|Youth Services/Administration"
California State University: Dominguez Hills,"Carson, CA",4-year,Public,Large,Suburban,46%,$5K,790-930,"Accounting|African-American/Black Studies|Anthropology|Art/Art Studies, General|Asian Studies/Civilization|Behavioral Sciences|Biochemistry|Biology/Biological Sciences, General|Business Administration and Management, General|Business, Management, Marketing, and Related Support Services, Other|Chemistry, General|Cinematography and Film/Video Production|Clinical Laboratory Science/Medical Technology/Technologist|Clinical Nurse Specialist|Communication Disorders Sciences and Services, Other|Computer Science|Computer and Information Sciences, Other|Computer and Information Systems Security/Auditing/Information Assurance|Counselor Education/School Counseling and Guidance Services|Criminal Justice/Safety Studies|Dance, General|Design and Applied Arts, Other|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Economics, General|Education, General|Educational Leadership and Administration, General|English Language and Literature, General|Environmental Science|Film/Cinema/Media Studies|General Studies|Geography|Geological and Earth Sciences/Geosciences, Other|Geology/Earth Science, General|Graphic Design|Health Services/Allied Health/Health Sciences, General|Higher Education/Higher Education Administration|Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies|History, General|Human Services, General|Humanities/Humanistic Studies|Information Technology|Journalism|Labor Studies|Liberal Arts and Sciences, General Studies and Humanities, Other|Liberal Arts and Sciences/Liberal Studies|Logistics, Materials, and Supply Chain Management|Marriage and Family Therapy/Counseling|Mathematics Teacher Education|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Music, General|Occupational Therapy/Therapist|Organizational Leadership|Parks, Recreation, and Leisure Studies|Peace Studies and Conflict Resolution|Philosophy|Physics, General|Political Science and Government, General|Psychology, General|Psychology, Other|Public Administration|Public Relations/Image Management|Quality Control Technology/Technician|Radiologic Technology/Science - Radiographer|Recording Arts Technology/Technician|Registered Nursing, Nursing Administration, Nursing Research and Clinical Nursing, Other|Registered Nursing/Registered Nurse|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Sports, Kinesiology, and Physical Education/Fitness, General|Systems Engineering|Women's Studies|Writing, General"
Escuela de Artes Plasticas y Diseno de Puerto Rico,"San Juan, PR",4-year,Public,Small,Urban,37%,$5K,953-1055,"Art Teacher Education|Digital Arts|Fashion/Apparel Design|Film/Video and Photographic Arts, Other|Graphic Design|Industrial and Product Design|Painting|Printmaking|Sculpture"
University of Texas at El Paso,"El Paso, TX",4-year,Public,Very Large,Urban,47%,$10K,880-1080,"Accounting|Advertising|Anthropology|Art History, Criticism and Conservation|Art/Art Studies, General|Audiology/Audiologist and Speech-Language Pathology/Pathologist|Biochemistry|Bioengineering and Biomedical Engineering|Bioinformatics|Biological and Physical Sciences|Biology/Biological Sciences, General|Business Administration and Management, General|Business/Commerce, General|Business/Managerial Economics|Chemistry, General|Civil Engineering, General|Clinical Laboratory Science/Medical Technology/Technologist|Clinical Psychology|Communication, General|Community Health and Preventive Medicine|Computational Science|Computer Engineering, General|Computer Science|Computer Software Engineering|Computer and Information Sciences, General|Construction Engineering|Construction Management, General|Counselor Education/School Counseling and Guidance Services|Creative Writing|Criminal Justice/Safety Studies|Curriculum and Instruction|Dance, General|Digital Communication and Media/Multimedia|Drama and Dramatics/Theater Arts, General|Early Childhood Education and Teaching|Ecology and Evolutionary Biology|Education, General|Educational Leadership and Administration, General|Electrical and Computer Engineering|Electrical and Electronics Engineering|Engineering, General|English Language and Literature, General|English/Language Arts Teacher Education|Environmental Science|Environmental/Environmental Health Engineering|Exercise Science and Kinesiology|Experimental Psychology|Family Practice Nurse/Nursing|Finance, General|Fine/Studio Arts, General|Forensic Science and Technology|French Language and Literature|Geology/Earth Science, General|Geophysics and Seismology|Health Services/Allied Health/Health Sciences, General|Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies|History, General|History, Other|Homeland Security|Industrial Engineering|Information Science/Studies|Information Technology|International Business/Trade/Commerce|Latin American Studies|Linguistics|Management Information Systems, General|Manufacturing Engineering|Marketing/Marketing Management, General|Materials Engineering|Mathematics and Statistics|Mathematics, General|Mechanical Engineering|Mental Health Counseling/Counselor|Metallurgical Engineering|Microbiology, General|Molecular Biochemistry|Multi-/Interdisciplinary Studies, General|Multi-/Interdisciplinary Studies, Other|Music Management|Music, General|National Security Policy Studies|Natural Sciences|Neuroscience|Nursing Administration|Nursing Education|Nursing Practice|Occupational Therapy/Therapist|Operations Management and Supervision|Organizational Communication, General|Pharmacy|Philosophy|Physical Therapy/Therapist|Physics, General|Political Science and Government, General|Professional, Technical, Business, and Scientific Writing|Psychiatric/Mental Health Nurse/Nursing|Psychology, General|Public Administration|Public Health Education and Promotion|Public Health, General|Reading Teacher Education|Registered Nursing/Registered Nurse|Rehabilitation Science|Rhetoric and Composition|Social Work|Sociology|Spanish Language and Literature|Special Education and Teaching, General|Speech Communication and Rhetoric|Statistics, General|Systems Engineering|Theatre/Theatre Arts Management|Vocational Rehabilitation Counseling/Counselor|Women's Studies"
California State University: Monterey Bay,"Seaside, CA",4-year,Public,Medium,Suburban,61%,$11K,900-1220,"Agronomy and Crop Science|Applied Behavior Analysis|Art/Art Studies, General|Biology/Biological Sciences, General|Business Administration and Management, General|Computer Science|Computer and Information Sciences, Other|Design and Visual Communications, General|Education, General|Educational/Instructional Technology|Environmental Science|Environmental Studies|Ethnic, Cultural Minority, Gender, and Group Studies, Other|Foreign Languages and Literatures, General|Hospitality Administration/Management, General|Human Development and Family Studies, General|Human Services, General|Humanities/Humanistic Studies|Illustration|International Relations and Affairs|International/Globalization Studies|Japanese Language and Literature|Liberal Arts and Sciences/Liberal Studies|Marine Biology and Biological Oceanography|Marine Sciences|Mathematics, General|Multi-/Interdisciplinary Studies, Other|Music, General|Physician Assistant|Psychology, General|Public Administration|Radio and Television|Registered Nursing/Registered Nurse|School Psychology|Social Sciences, General|Social Work|Spanish Language and Literature|Sports, Kinesiology, and Physical Education/Fitness, General|Statistics, General|Water, Wetlands, and Marine Resources Management"
